state,count
Alaska,2.0
Alabama,14.0
Arkansas,12.0
Arizona,70.0
California,218.0
Colorado,25.0
Connecticut,32.0
District of Columbia,394.0
Delaware,5.0
Florida,122.0
Georgia,42.0
Guam,1.0
Hawaii,18.0
Iowa,38.0
Idaho,8.0
Illinois,49.0
Indiana,43.0
Kansas,7.0
Kentucky,30.0
Louisiana,22.0
Massachusetts,459.0
Maryland,72.0
Maine,14.0
Michigan,121.0
Minnesota,93.0
Missouri,59.0
Northern Marina Islands,
Mississippi,3.0
Montana,7.0
North Carolina,71.0
North Dakota,4.0
Nebraska,8.0
New Hampshire,9.0
New Jersey,169.0
New Mexico,3.0
Nevada,10.0
New York,2477.0
Ohio,127.0
Oklahoma,32.0
Oregon,26.0
Pennsylvania,223.0
Puerto Rico,1.0
Rhode Island,3.0
South Carolina,13.0
South Dakota,10.0
Tennessee,38.0
Texas,138.0
Utah,13.0
Virginia,55.0
US Virgin Islands,0.0
Vermont,24.0
Washington,74.0
Wisconsin,76.0
West Virginia,15.0
Wyoming,8.0
Total,5607.0
