state,count
Alaska,0.0
Alabama,0.0
Arkansas,0.0
Arizona,0.0
California,3.0
Colorado,1.0
Connecticut,0.0
District of Columbia,0.0
Delaware,0.0
Florida,2.0
Georgia,0.0
Guam,0.0
Hawaii,0.0
Iowa,0.0
Idaho,0.0
Illinois,3.0
Indiana,0.0
Kansas,0.0
Kentucky,0.0
Louisiana,1.0
Massachusetts,1.0
Maryland,5.0
Maine,0.0
Michigan,0.0
Minnesota,0.0
Missouri,3.0
Northern Marina Islands,
Mississippi,0.0
Montana,0.0
North Carolina,0.0
North Dakota,0.0
Nebraska,0.0
New Hampshire,0.0
New Jersey,3.0
New Mexico,0.0
Nevada,1.0
New York,1.0
Ohio,2.0
Oklahoma,0.0
Oregon,0.0
Pennsylvania,12.0
Puerto Rico,3.0
Rhode Island,0.0
South Carolina,1.0
South Dakota,0.0
Tennessee,0.0
Texas,1.0
Utah,1.0
Virginia,1.0
US Virgin Islands,0.0
Vermont,0.0
Washington,1.0
Wisconsin,2.0
West Virginia,0.0
Wyoming,0.0
Total,48.0
